show,click
1,0
2,0
1,0
1,0
7,0
6,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
3,0
1,0
2,0
1,0
2,0
1,0
1,0
1,0
1,0
4,0
3,0
1,0
3,0
1,0
3,0
1,0
2,0
11,0
2,0
2,0
2,0
16,0
22,0
11,0
11,0
1,0
1,0
29,0
5,0
11,0
2,0
1,0
1,0
1,0
8,0
88,0
4,0
1,0
1,0
13,0
4,0
136,0
1,0
1,0
1,0
11,0
1,0
1,0
2,0
5,0
6,0
8,0
5,0
11,0
3,0
1,0
1,0
20,0
2,0
1,0
2,0
2,0
11,0
3,0
3,0
1,0
10,0
1,0
1,0
7,0
1,0
1,0
8,0
4,0
2,0
11,0
7,0
1,0
2,0
16,0
107,0
2,0
1,0
93,0
111,0
12,0
4,0
105,0
26,0
9,0
8,0
12,0
2,0
7,0
7,0
42,0
2,0
1,0
4,0
70,0
25,0
6,0
9,0
1,0
2,0
1,0
15,0
13,0
1,0
5,0
2,0
19,0
4,0
1,0
1,0
1,0
8,0
10,0
24,0
60,0
5,0
216,0
42,0
32,0
1,0
1,0
1,0
2,0
144,0
2,0
4,0
1,0
11,0
2,0
78,0
1,0
1,0
9,0
5,0
1,0
1,0
1,0
1,0
4,0
32,0
1,0
1,0
11,0
2,0
7,0
17,0
7,0
2,0
3,0
33,0
4,0
16,0
1,0
3,0
1,0
99,0
216,0
113,0
194,0
97,0
258,0
3,0
11,0
39,0
222,0
9,0
112,0
4,0
1,0
1,0
10,0
1,0
1,0
1,0
1,0
4,0
105,0
643,0
6,0
1090,0
9,0
21,0
98,0
3,0
50,0
625,0
7,0
1023,0
2,0
11,0
9,0
1,0
27,0
6,0
7,0
10,0
6,0
5,0
11,0
10,0
2,0
6,0
17,0
14,0
80,0
16,0
1,0
4,0
1,0
3,0
97,0
10,0
4,0
3,0
7,0
1,0
4,0
13,0
3381,0
15,0
4,0
1,0
4,0
37,0
1,0
39,0
45,0
6,0
17,0
1,0
2,0
13,0
5,0
1,0
5,0
2,0
12,0
13,0
4,0
6,0
1,0
2,0
11,0
5,0
3,0
3,0
84,0
33,0
3,0
1,0
9,0
9,0
6,0
2,0
3,0
1,0
44,0
1,0
1,0
4,0
13,0
